D[-],D_dot[1/s],p[-],p_dot[1/s],Mises[MPa],Hydro[MPa],teq[-],eeq[-],V[mm^3],Sig_tri[-],LoadState
0.006205615,0.0238818775,0.0529731286,0.0496457565,281.13038288,-3.5786760569,0.0539493325,0.0013390978,0.0016972443,-0.014641685,Sx
0.0062306009,0.0243953633,0.0530278752,0.0501097345,280.74213066,-3.5741809795,0.0540012449,0.0013395517,0.0016972397,-0.0145854518,Sx
0.006249373,0.0245464543,0.0530691491,0.0504898527,280.43357965,-3.5704853613,0.0540402384,0.0013398662,0.0016972361,-0.014606419,Sx
0.0062777227,0.0247332574,0.0531313357,0.0507338427,279.95384024,-3.5646442223,0.0540989285,0.0013402917,0.0016972306,-0.0155750937,Sx
0.006299733,0.0251637236,0.0531779176,0.0502417989,279.63221894,-3.5610183772,0.0541434248,0.0013406394,0.0016972271,-0.0154213969,Sx
0.0063160999,0.025067199,0.0532129575,0.0504964727,279.3831301,-3.5581276631,0.0541768041,0.0013408853,0.0016972243,-0.0154432977,Sx
0.0063404224,0.0248803444,0.0532653954,0.0504461656,279.03371982,-3.5542907759,0.0542268135,0.0013413405,0.0016972201,-0.0160097064,Sx
0.0063765607,0.0247295825,0.0533438766,0.0504629865,278.55742107,-3.5493857704,0.0543016987,0.0013422087,0.0016972137,-0.0161173982,Sx
0.0064323765,0.025324099,0.0534630689,0.0509791116,277.79448134,-3.540751256,0.0544153411,0.0013433458,0.0016972044,-0.0169690573,Sx
0.0064749058,0.0257518707,0.0535535333,0.0516693764,277.16399914,-3.5329996311,0.054501225,0.0013440212,0.0016971971,-0.0169985482,Sx
0.0065403773,0.0265959899,0.0536914953,0.0527679538,276.04758364,-3.5179795798,0.054630757,0.0013445969,0.0016971853,-0.0177113487,Sx
0.0065734319,0.0268659946,0.0537607885,0.0531495327,275.49406788,-3.5104096694,0.0546958092,0.0013449692,0.0016971791,-0.0178285562,Sx
0.0065901851,0.027291714,0.0537956654,0.0536219214,275.20656217,-3.5063509775,0.0547284285,0.0013451463,0.001697176,-0.0178963337,Sx
0.0066028392,0.0273542813,0.0538219161,0.0536490666,274.99272581,-3.5033466373,0.0547530391,0.0013452688,0.0016971737,-0.0191303326,Sx
0.0066223713,0.027531907,0.0538611982,0.0527868875,274.71515775,-3.4997616069,0.0547904708,0.0013454828,0.0016971711,-0.0191703781,Sx
0.0066521354,0.0279819176,0.0539202662,0.0529684103,274.2981053,-3.4943190333,0.0548467686,0.001345847,0.0016971671,-0.0192784025,Sx
0.0066746368,0.0282493982,0.0539647287,0.0532537824,273.97651198,-3.4900134315,0.0548891182,0.001346134,0.0016971639,-0.0192243777,Sx
0.0067082021,0.0281970962,0.0540318167,0.0536718351,273.47862354,-3.4832550946,0.0549528501,0.0013466658,0.0016971591,-0.0194009863,Sx
0.0067577007,0.027502965,0.0541327665,0.053563512,272.79411115,-3.4742568363,0.0550493656,0.0013477733,0.0016971527,-0.0201702143,Sx
0.006832016,0.0273515079,0.0542843373,0.0534527758,271.9279678,-3.4639275446,0.0551951788,0.0013497884,0.001697144,-0.0200210482,Sx
0.0069097133,0.0285765107,0.0544372559,0.0540366695,271.07617052,-3.4537839488,0.0553421345,0.0013518095,0.001697135,-0.0201727028,Sx
0.0069489884,0.0289346122,0.0545142754,0.0545786188,270.62457107,-3.4480760804,0.0554161691,0.0013527295,0.0016971301,-0.0202309822,Sx
0.00701008,0.0298842381,0.0546321367,0.0555862941,269.90009847,-3.4385876911,0.0555285057,0.0013539183,0.0016971233,-0.0203252008,Sx
0.0071079375,0.0316970943,0.0548114727,0.0563198788,268.84303316,-3.4252171851,0.0556991723,0.0013557558,0.0016971138,-0.021952116,Sx
0.0072103236,0.033061862,0.0549948921,0.057661777,267.69198697,-3.4101243505,0.0558730332,0.0013572576,0.0016971043,-0.0225853298,Sx
0.0072639598,0.0345472539,0.0550875122,0.0583785349,267.0380255,-3.4010549105,0.0559614791,0.0013576989,0.0016970994,-0.022817862,Sx
0.0073205155,0.0361793455,0.0551842204,0.0607745485,266.26937285,-3.389886351,0.0560517655,0.0013577255,0.0016970951,-0.0231315665,Sx
0.0073621128,0.035517978,0.0552576441,0.0616003768,265.67819708,-3.3812578093,0.0561203441,0.0013577227,0.0016970918,-0.0230664362,Sx
0.0074227866,0.0346123875,0.0553715607,0.0637497725,264.81084988,-3.3687392798,0.0562247249,0.0013578208,0.0016970869,-0.0231759089,Sx
